[2024-03-11 11:10:57,247]16 root-INFO-Main code is starting
[2024-03-21 11:29:40,645]24 root-INFO-Enter the data ingestion component
[2024-03-21 11:29:40,654]27 root-INFO-Read the dataset as dataframe
[2024-03-21 11:29:40,663]31 root-INFO-Train test split initiated
[2024-03-21 11:29:40,673]36 root-INFO-Ingestion data is completed
[2024-03-21 11:29:40,697]68 root-INFO-Read train and test data completed
[2024-03-21 11:29:40,698]69 root-INFO-Obtaining preprocessing object
[2024-03-21 11:29:40,698]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 11:29:40,698]51 root-INFO-Categorical columns encoding
[2024-03-21 11:29:40,700]91 root-ERROR-An error occurred: "[('writing_score', 'reading_score')] not found in axis"
[2024-03-21 11:31:19,441]24 root-INFO-Enter the data ingestion component
[2024-03-21 11:31:19,449]27 root-INFO-Read the dataset as dataframe
[2024-03-21 11:31:19,457]31 root-INFO-Train test split initiated
[2024-03-21 11:31:19,466]36 root-INFO-Ingestion data is completed
[2024-03-21 11:31:19,488]68 root-INFO-Read train and test data completed
[2024-03-21 11:31:19,488]69 root-INFO-Obtaining preprocessing object
[2024-03-21 11:31:19,488]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 11:31:19,488]51 root-INFO-Categorical columns encoding
[2024-03-21 11:31:19,489]91 root-ERROR-An error occurred: "[('writing_score', 'reading_score')] not found in axis"
[2024-03-21 11:34:06,070]24 root-INFO-Enter the data ingestion component
[2024-03-21 11:34:06,081]27 root-INFO-Read the dataset as dataframe
[2024-03-21 11:34:06,101]31 root-INFO-Train test split initiated
[2024-03-21 11:34:06,112]36 root-INFO-Ingestion data is completed
[2024-03-21 11:34:06,137]68 root-INFO-Read train and test data completed
[2024-03-21 11:34:06,137]69 root-INFO-Obtaining preprocessing object
[2024-03-21 11:34:06,137]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 11:34:06,137]51 root-INFO-Categorical columns encoding
[2024-03-21 11:34:06,138]91 root-ERROR-An error occurred: "[('writing_score', 'reading_score')] not found in axis"
[2024-03-21 11:37:23,945]24 root-INFO-Enter the data ingestion component
[2024-03-21 11:37:23,951]27 root-INFO-Read the dataset as dataframe
[2024-03-21 11:37:23,960]31 root-INFO-Train test split initiated
[2024-03-21 11:37:23,970]36 root-INFO-Ingestion data is completed
[2024-03-21 11:37:23,993]68 root-INFO-Read train and test data completed
[2024-03-21 11:37:23,993]69 root-INFO-Obtaining preprocessing object
[2024-03-21 11:37:23,993]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 11:37:23,993]51 root-INFO-Categorical columns encoding
[2024-03-21 11:37:23,994]91 root-ERROR-An error occurred: "[('writing_score', 'reading_score')] not found in axis"
[2024-03-21 11:37:58,889]24 root-INFO-Enter the data ingestion component
[2024-03-21 11:37:58,895]27 root-INFO-Read the dataset as dataframe
[2024-03-21 11:37:58,902]31 root-INFO-Train test split initiated
[2024-03-21 11:37:58,913]36 root-INFO-Ingestion data is completed
[2024-03-21 11:37:58,935]68 root-INFO-Read train and test data completed
[2024-03-21 11:37:58,936]69 root-INFO-Obtaining preprocessing object
[2024-03-21 11:37:58,936]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 11:37:58,936]51 root-INFO-Categorical columns encoding
[2024-03-21 11:37:58,936]91 root-ERROR-An error occurred: "[('writing_score', 'reading_score')] not found in axis"
[2024-03-21 11:38:30,103]24 root-INFO-Enter the data ingestion component
[2024-03-21 11:38:30,110]27 root-INFO-Read the dataset as dataframe
[2024-03-21 11:38:30,117]31 root-INFO-Train test split initiated
[2024-03-21 11:38:30,129]36 root-INFO-Ingestion data is completed
[2024-03-21 11:38:30,150]68 root-INFO-Read train and test data completed
[2024-03-21 11:38:30,150]69 root-INFO-Obtaining preprocessing object
[2024-03-21 11:38:30,150]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 11:38:30,150]51 root-INFO-Categorical columns encoding
[2024-03-21 12:03:58,940]24 root-INFO-Enter the data ingestion component
[2024-03-21 12:03:58,940]27 root-INFO-Read the dataset as dataframe
[2024-03-21 12:03:58,956]31 root-INFO-Train test split initiated
[2024-03-21 12:03:58,956]36 root-INFO-Ingestion data is completed
[2024-03-21 12:03:58,987]68 root-INFO-Read train and test data completed
[2024-03-21 12:03:58,987]69 root-INFO-Obtaining preprocessing object
[2024-03-21 12:03:58,987]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 12:03:58,987]51 root-INFO-Categorical columns encoding
[2024-03-21 12:12:52,160]24 root-INFO-Enter the data ingestion component
[2024-03-21 12:12:52,160]27 root-INFO-Read the dataset as dataframe
[2024-03-21 12:12:52,175]31 root-INFO-Train test split initiated
[2024-03-21 12:12:52,175]36 root-INFO-Ingestion data is completed
[2024-03-21 12:12:52,207]68 root-INFO-Read train and test data completed
[2024-03-21 12:12:52,207]69 root-INFO-Obtaining preprocessing object
[2024-03-21 12:12:52,207]50 root-INFO-Numerical columns standard scaling completed
[2024-03-21 12:12:52,207]51 root-INFO-Categorical columns encoding
[2024-03-21 12:20:18,388]24 root-INFO-Enter the data ingestion component
[2024-03-21 12:20:18,404]27 root-INFO-Read the dataset as dataframe
[2024-03-21 12:20:18,414]31 root-INFO-Train test split initiated
